p,n,q,polynomial,e,h,t4,t8,euler,full,euler_predicted,full_predicted,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,all_character_sums_ok,euler_formula_ok,full_formula_ok
3,1,3,"x",-1,-1,0,2,1,1,1,1,9,-3,-3,1,0,4,4,-8,-3,1,1,5,-4,0,0,4,9,-3,-3,1,0,4,4,-8,-3,1,1,5,-4,0,0,4,1,1,1
3,2,9,"x^2+1",1,1,-6,-2,25,25,25,25,81,-9,-9,1,0,10,10,24,9,1,1,29,-8,20,20,-12,81,-9,-9,1,0,10,10,24,9,1,1,29,-8,20,20,-12,1,1,1
3,3,27,"x^3+2*x+1",-1,-1,0,-10,73,49,73,49,729,-27,-27,1,0,28,28,-152,-27,1,1,29,-28,0,0,220,729,-27,-27,1,0,28,28,-152,-27,1,1,29,-28,0,0,220,1,1,1
3,4,81,"x^4+1*x+2",1,1,18,-14,913,577,913,577,6561,-81,-81,1,0,82,82,360,81,1,1,245,-80,164,164,348,6561,-81,-81,1,0,82,82,360,81,1,1,245,-80,164,164,348,1,1,1
3,5,243,"x^5+2*x+1",-1,-1,0,2,7321,3601,7321,3601,59049,-243,-243,1,0,244,244,-488,-243,1,1,245,-244,0,0,-716,59049,-243,-243,1,0,244,244,-488,-243,1,1,245,-244,0,0,-716,1,1,1
3,6,729,"x^6+1*x+2",1,1,-54,46,67465,34969,67465,34969,531441,-729,-729,1,0,730,730,3576,729,1,1,2189,-728,1460,1460,4164,531441,-729,-729,1,0,730,730,3576,729,1,1,2189,-728,1460,1460,4164,1,1,1
5,1,5,"x",1,-1,-2,0,5,5,5,5,25,-5,-5,1,0,6,6,-8,5,1,1,1,-4,-4,-4,8,25,-5,-5,1,0,6,6,-8,5,1,1,1,-4,-4,-4,8,1,1,1
5,2,25,"x^2+2",1,1,-6,-10,121,97,121,97,625,-25,-25,1,0,26,26,152,25,1,1,13,-24,-12,-12,228,625,-25,-25,1,0,26,26,152,25,1,1,13,-24,-12,-12,228,1,1,1
5,3,125,"x^3+1*x+1",1,-1,22,0,1997,1157,1997,1157,15625,-125,-125,1,0,126,126,-248,125,1,1,361,-124,236,236,128,15625,-125,-125,1,0,126,126,-248,125,1,1,361,-124,236,236,128,1,1,1
5,4,625,"x^4+2",1,1,-14,50,49777,25633,49777,25633,390625,-625,-625,1,0,626,626,3752,625,1,1,-427,-624,-1052,-1052,5628,390625,-625,-625,1,0,626,626,3752,625,1,1,-427,-624,-1052,-1052,5628,1,1,1
7,1,7,"x",-1,1,0,0,9,5,9,5,49,-7,-7,1,0,8,8,16,-7,1,1,9,-8,0,0,8,49,-7,-7,1,0,8,8,16,-7,1,1,9,-8,0,0,8,1,1,1
7,2,49,"x^2+1",1,1,-14,-14,385,289,385,289,2401,-49,-49,1,0,50,50,296,49,1,1,149,-48,100,100,444,2401,-49,-49,1,0,50,50,296,49,1,1,149,-48,100,100,444,1,1,1
7,3,343,"x^3+2",-1,1,0,0,14793,7397,14793,7397,117649,-343,-343,1,0,344,344,688,-343,1,1,345,-344,0,0,344,117649,-343,-343,1,0,344,344,688,-343,1,1,345,-344,0,0,344,1,1,1
7,4,2401,"x^4+1*x+1",1,1,98,98,724129,366529,724129,366529,5764801,-2401,-2401,1,0,2402,2402,14408,2401,1,1,7205,-2400,4804,4804,21612,5764801,-2401,-2401,1,0,2402,2402,14408,2401,1,1,7205,-2400,4804,4804,21612,1,1,1
11,1,11,"x",-1,-1,0,6,9,9,9,9,121,-11,-11,1,0,12,12,-56,-11,1,1,13,-12,0,0,76,121,-11,-11,1,0,12,12,-56,-11,1,1,13,-12,0,0,76,1,1,1
