p,n,q,sum,actual,predicted,ok
3,1,3,S7,-8,-8,True
3,1,3,S11,5,5,True
3,1,3,S13,0,0,True
3,1,3,S14,0,0,True
3,1,3,S15,4,4,True
3,2,9,S7,24,24,True
3,2,9,S11,29,29,True
3,2,9,S13,20,20,True
3,2,9,S14,20,20,True
3,2,9,S15,-12,-12,True
3,3,27,S7,-152,-152,True
3,3,27,S11,29,29,True
3,3,27,S13,0,0,True
3,3,27,S14,0,0,True
3,3,27,S15,220,220,True
3,4,81,S7,360,360,True
3,4,81,S11,245,245,True
3,4,81,S13,164,164,True
3,4,81,S14,164,164,True
3,4,81,S15,348,348,True
3,5,243,S7,-488,-488,True
3,5,243,S11,245,245,True
3,5,243,S13,0,0,True
3,5,243,S14,0,0,True
3,5,243,S15,-716,-716,True
3,6,729,S7,3576,3576,True
3,6,729,S11,2189,2189,True
3,6,729,S13,1460,1460,True
3,6,729,S14,1460,1460,True
3,6,729,S15,4164,4164,True
5,1,5,S7,-8,-8,True
5,1,5,S11,1,1,True
5,1,5,S13,-4,-4,True
5,1,5,S14,-4,-4,True
5,1,5,S15,8,8,True
5,2,25,S7,152,152,True
5,2,25,S11,13,13,True
5,2,25,S13,-12,-12,True
5,2,25,S14,-12,-12,True
5,2,25,S15,228,228,True
5,3,125,S7,-248,-248,True
5,3,125,S11,361,361,True
5,3,125,S13,236,236,True
5,3,125,S14,236,236,True
5,3,125,S15,128,128,True
5,4,625,S7,3752,3752,True
5,4,625,S11,-427,-427,True
5,4,625,S13,-1052,-1052,True
5,4,625,S14,-1052,-1052,True
5,4,625,S15,5628,5628,True
7,1,7,S7,16,16,True
7,1,7,S11,9,9,True
7,1,7,S13,0,0,True
7,1,7,S14,0,0,True
7,1,7,S15,8,8,True
7,2,49,S7,296,296,True
7,2,49,S11,149,149,True
7,2,49,S13,100,100,True
7,2,49,S14,100,100,True
7,2,49,S15,444,444,True
7,3,343,S7,688,688,True
7,3,343,S11,345,345,True
7,3,343,S13,0,0,True
7,3,343,S14,0,0,True
7,3,343,S15,344,344,True
7,4,2401,S7,14408,14408,True
7,4,2401,S11,7205,7205,True
7,4,2401,S13,4804,4804,True
7,4,2401,S14,4804,4804,True
7,4,2401,S15,21612,21612,True
11,1,11,S7,-56,-56,True
11,1,11,S11,13,13,True
11,1,11,S13,0,0,True
11,1,11,S14,0,0,True
11,1,11,S15,76,76,True
11,2,121,S7,440,440,True
11,2,121,S11,365,365,True
11,2,121,S13,244,244,True
11,2,121,S14,244,244,True
11,2,121,S15,228,228,True
11,3,1331,S7,-2984,-2984,True
11,3,1331,S11,1333,1333,True
11,3,1331,S13,0,0,True
11,3,1331,S14,0,0,True
11,3,1331,S15,-3020,-3020,True
13,1,13,S7,-24,-24,True
13,1,13,S11,25,25,True
13,1,13,S13,12,12,True
13,1,13,S14,12,12,True
13,1,13,S15,16,16,True
13,2,169,S7,1016,1016,True
13,2,169,S11,-67,-67,True
13,2,169,S13,-236,-236,True
13,2,169,S14,-236,-236,True
13,2,169,S15,1524,1524,True
13,3,2197,S7,-4392,-4392,True
13,3,2197,S11,-1871,-1871,True
13,3,2197,S13,-4068,-4068,True
13,3,2197,S14,-4068,-4068,True
13,3,2197,S15,2200,2200,True
17,1,17,S7,72,72,True
17,1,17,S11,-11,-11,True
17,1,17,S13,-28,-28,True
17,1,17,S14,-28,-28,True
17,1,17,S15,60,60,True
17,2,289,S7,584,584,True
17,2,289,S11,613,613,True
17,2,289,S13,324,324,True
17,2,289,S14,324,324,True
17,2,289,S15,-852,-852,True
19,1,19,S7,-40,-40,True
19,1,19,S11,21,21,True
19,1,19,S13,0,0,True
19,1,19,S14,0,0,True
19,1,19,S15,-44,-44,True
19,2,361,S7,1880,1880,True
19,2,361,S11,1085,1085,True
19,2,361,S13,724,724,True
19,2,361,S14,724,724,True
19,2,361,S15,2388,2388,True
23,1,23,S7,48,48,True
23,1,23,S11,25,25,True
23,1,23,S13,0,0,True
23,1,23,S14,0,0,True
23,1,23,S15,24,24,True
23,2,529,S7,3176,3176,True
23,2,529,S11,1589,1589,True
23,2,529,S13,1060,1060,True
23,2,529,S14,1060,1060,True
23,2,529,S15,4764,4764,True
29,1,29,S7,-56,-56,True
29,1,29,S11,73,73,True
29,1,29,S13,44,44,True
29,1,29,S14,44,44,True
29,1,29,S15,32,32,True
29,2,841,S7,5048,5048,True
29,2,841,S11,925,925,True
29,2,841,S13,84,84,True
29,2,841,S14,84,84,True
29,2,841,S15,7572,7572,True
31,1,31,S7,64,64,True
31,1,31,S11,33,33,True
31,1,31,S13,0,0,True
31,1,31,S14,0,0,True
31,1,31,S15,32,32,True
31,2,961,S7,5768,5768,True
31,2,961,S11,2885,2885,True
31,2,961,S13,1924,1924,True
31,2,961,S14,1924,1924,True
31,2,961,S15,8652,8652,True
37,1,37,S7,-72,-72,True
37,1,37,S11,-31,-31,True
37,1,37,S13,-68,-68,True
37,1,37,S14,-68,-68,True
37,1,37,S15,40,40,True
37,2,1369,S7,8216,8216,True
37,2,1369,S11,3533,3533,True
37,2,1369,S13,2164,2164,True
37,2,1369,S14,2164,2164,True
37,2,1369,S15,12324,12324,True
