p,m,modulus,euler,full,rejected,q3_zero,q3_nonzero_square,q3_nonsquare,redundant,survival_numerator,survival_denominator
3,1,3,1,1,0,0,1,0,1,1,1
3,2,9,9,9,0,0,9,0,1,9,9
3,3,27,45,45,0,0,45,0,1,45,45
3,4,81,405,405,0,0,405,0,1,405,405
3,5,243,3321,3321,0,0,3321,0,1,3321,3321
3,6,729,29889,29889,0,0,29889,0,1,29889,29889
5,1,5,5,5,0,4,1,0,1,5,5
5,2,25,45,45,0,20,25,0,1,45,45
5,3,125,725,645,80,100,545,80,0,645,725
5,4,625,12125,8525,3600,500,8025,3600,0,8525,12125
7,1,7,9,5,4,0,5,4,0,5,9
7,2,49,441,245,196,0,245,196,0,245,441
7,3,343,20433,10829,9604,0,10829,9604,0,10829,20433
7,4,2401,1001217,530621,470596,0,530621,470596,0,530621,1001217
11,1,11,9,9,0,0,9,0,1,9,9
11,2,121,1089,1089,0,0,1089,0,1,1089,1089
11,3,1331,124509,124509,0,0,124509,0,1,124509,124509
13,1,13,21,21,0,12,9,0,1,21,21
13,2,169,2925,1677,1248,156,1521,1248,0,1677,2925
13,3,2197,478101,257205,220896,2028,255177,220896,0,257205,478101
17,1,17,57,41,16,16,25,16,0,41,57
17,2,289,11929,4041,7888,272,3769,7888,0,4041,11929
19,1,19,41,17,24,0,17,24,0,17,41
19,2,361,14801,6137,8664,0,6137,8664,0,6137,14801
23,1,23,73,37,36,0,37,36,0,37,73
23,2,529,38617,19573,19044,0,19573,19044,0,19573,38617
29,1,29,125,101,24,28,73,24,0,101,125
29,2,841,62901,23229,39672,812,22417,39672,0,23229,62901
31,1,31,129,65,64,0,65,64,0,65,129
31,2,961,123969,62465,61504,0,62465,61504,0,62465,123969
37,1,37,189,117,72,36,81,72,0,117,189
37,2,1369,189477,48285,141192,1332,46953,141192,0,48285,189477
