p,depth,cardinality,field_euler,field_full,field_rejected,field_redundant,field_survival,ring_euler,ring_full,ring_rejected,ring_redundant,ring_survival,ring_q3_zero,same_euler_count,same_full_count,same_redundancy_status
3,1,3,1,1,0,1,1.0,1,1,0,1,1.0,0,1,1,1
3,2,9,25,25,0,1,1.0,9,9,0,1,1.0,0,0,0,1
3,3,27,73,49,24,0,0.6712328767123288,45,45,0,1,1.0,0,0,0,0
3,4,81,913,577,336,0,0.6319824753559693,405,405,0,1,1.0,0,0,0,0
3,5,243,7321,3601,3720,0,0.49187269498702363,3321,3321,0,1,1.0,0,0,0,0
3,6,729,67465,34969,32496,0,0.5183280219373009,29889,29889,0,1,1.0,0,0,0,0
5,1,5,5,5,0,1,1.0,5,5,0,1,1.0,4,1,1,1
5,2,25,121,97,24,0,0.8016528925619835,45,45,0,1,1.0,20,0,0,0
5,3,125,1997,1157,840,0,0.5793690535803706,725,645,80,0,0.8896551724137931,100,0,0,1
5,4,625,49777,25633,24144,0,0.5149567069128312,12125,8525,3600,0,0.7030927835051546,500,0,0,1
7,1,7,9,5,4,0,0.5555555555555556,9,5,4,0,0.5555555555555556,0,1,1,1
7,2,49,385,289,96,0,0.7506493506493507,441,245,196,0,0.5555555555555556,0,0,0,1
7,3,343,14793,7397,7396,0,0.5000337997701616,20433,10829,9604,0,0.5299760191846523,0,0,0,1
7,4,2401,724129,366529,357600,0,0.5061653379439299,1001217,530621,470596,0,0.5299760191846523,0,0,0,1
11,1,11,9,9,0,1,1.0,9,9,0,1,1.0,0,1,1,1
11,2,121,1993,1177,816,0,0.5905669844455594,1089,1089,0,1,1.0,0,0,0,0
11,3,1331,221073,110265,110808,0,0.4987718988750322,124509,124509,0,1,1.0,0,0,0,0
13,1,13,21,21,0,1,1.0,21,21,0,1,1.0,12,1,1,1
13,2,169,3817,2113,1704,0,0.553576106890228,2925,1677,1248,0,0.5733333333333334,156,0,0,1
13,3,2197,604461,303669,300792,0,0.5023798061413391,478101,257205,220896,0,0.537972102129048,2028,0,0,1
17,1,17,57,41,16,0,0.7192982456140351,57,41,16,0,0.7192982456140351,16,1,1,1
17,2,289,10753,5665,5088,0,0.5268297219380638,11929,4041,7888,0,0.3387542962528292,272,0,0,1
19,1,19,41,17,24,0,0.4146341463414634,41,17,24,0,0.4146341463414634,0,1,1,1
19,2,361,16825,9049,7776,0,0.5378306092124814,14801,6137,8664,0,0.4146341463414634,0,0,0,1
23,1,23,73,37,36,0,0.5068493150684932,73,37,36,0,0.5068493150684932,0,1,1,1
23,2,529,35809,18913,16896,0,0.5281633108994945,38617,19573,19044,0,0.5068493150684932,0,0,0,1
29,1,29,125,101,24,0,0.808,125,101,24,0,0.808,28,1,1,1
29,2,841,89641,46081,43560,0,0.5140616458986401,62901,23229,39672,0,0.36929460580912865,812,0,0,1
31,1,31,129,65,64,0,0.5038759689922481,129,65,64,0,0.5038759689922481,0,1,1,1
31,2,961,116929,60289,56640,0,0.5156034858760444,123969,62465,61504,0,0.5038759689922481,0,0,0,1
37,1,37,189,117,72,0,0.6190476190476191,189,117,72,0,0.6190476190476191,36,1,1,1
37,2,1369,236377,120673,115704,0,0.5105107518921046,189477,48285,141192,0,0.2548330404217926,1332,0,0,1
