p,curve,n,actual,predicted,ok
3,t4,1,0,0,True
3,t4,2,-6,-6,True
3,t4,3,0,0,True
3,t4,4,18,18,True
3,t4,5,0,0,True
3,t4,6,-54,-54,True
3,t8,1,2,2,True
3,t8,2,-2,-2,True
3,t8,3,-10,-10,True
3,t8,4,-14,-14,True
3,t8,5,2,2,True
3,t8,6,46,46,True
5,t4,1,-2,-2,True
5,t4,2,-6,-6,True
5,t4,3,22,22,True
5,t4,4,-14,-14,True
5,t8,1,0,0,True
5,t8,2,-10,-10,True
5,t8,3,0,0,True
5,t8,4,50,50,True
7,t4,1,0,0,True
7,t4,2,-14,-14,True
7,t4,3,0,0,True
7,t4,4,98,98,True
7,t8,1,0,0,True
7,t8,2,-14,-14,True
7,t8,3,0,0,True
7,t8,4,98,98,True
11,t4,1,0,0,True
11,t4,2,-22,-22,True
11,t4,3,0,0,True
11,t8,1,6,6,True
11,t8,2,14,14,True
11,t8,3,18,18,True
13,t4,1,6,6,True
13,t4,2,10,10,True
13,t4,3,-18,-18,True
13,t8,1,0,0,True
13,t8,2,-26,-26,True
13,t8,3,0,0,True
17,t4,1,2,2,True
17,t4,2,-30,-30,True
17,t8,1,-6,-6,True
17,t8,2,2,2,True
19,t4,1,0,0,True
19,t4,2,-38,-38,True
19,t8,1,2,2,True
19,t8,2,-34,-34,True
23,t4,1,0,0,True
23,t4,2,-46,-46,True
23,t8,1,0,0,True
23,t8,2,-46,-46,True
29,t4,1,-10,-10,True
29,t4,2,42,42,True
29,t8,1,0,0,True
29,t8,2,-58,-58,True
31,t4,1,0,0,True
31,t4,2,-62,-62,True
31,t8,1,0,0,True
31,t8,2,-62,-62,True
37,t4,1,-2,-2,True
37,t4,2,-70,-70,True
37,t8,1,0,0,True
37,t8,2,-74,-74,True
